Year,Population,Yearly....Change,Yearly.Change,Migrants..net.,Median.Age,Fertility.Rate,Density..P.Km².,Urban.Pop..,Urban.Population,Eastern.Africa.sShare.of.World.Pop,World.Population,Eastern.AfricaRank.withinAfrica
2020,445405606,2.71%,11146866,-262400,18.70,4.43,67.00,29.80%,132520364,6.00%,7794798739,2
2020,445405606,2.65%,11500663,-262405,18.10,4.81,67.00,29.80%,132520364,5.70%,7794798739,2
2019,433904943,2.68%,11341580,-262405,18.10,4.81,65.00,29.20%,126809813,5.60%,7713468100,NA
2018,422563363,2.71%,11166636,-262405,18.10,4.81,63.00,28.70%,121315521,5.50%,7631091040,1
2017,411396727,2.74%,10969972,-262405,18.10,4.81,62.00,28.20%,116034318,5.50%,7547858925,1
2016,400426755,2.76%,10755480,-262405,18.10,4.81,60.00,27.70%,110963377,5.40%,7464022049,1
2015,389671275,2.81%,10070688,-355300,17.90,4.90,58.00,27.20%,106095604,5.60%,7379797139,1
2010,339317833,2.83%,8826483,-313900,17.30,5.38,51.00,24.90%,84503529,5.20%,6956823603,1
2005,295185417,2.78%,7566411,-206900,17.00,5.76,44.00,22.90%,67684204,4.80%,6541907027,1
2000,257353364,2.82%,6683829,-82200,16.90,6.09,39.00,21.40%,54950508,4.50%,6143493823,1
1995,223934219,2.58%,5353169,-452900,16.90,6.38,34.00,19.90%,44589205,4.20%,5744212979,1
1990,197168375,3.02%,5456177,-77800,16.70,6.78,30.00,18.20%,35850678,4.00%,5327231061,1
1985,169887491,3.01%,4679825,-121200,16.70,7.00,25.00,16.30%,27720992,3.80%,4870921740,1
1980,146488368,2.98%,4004663,-133800,16.80,7.11,22.00,14.70%,21478562,3.60%,4458003514,1
1975,126465051,2.89%,3356567,-124400,16.90,7.14,19.00,12.50%,15854488,3.40%,4079480606,1
1970,109682215,2.84%,2861904,-20000,17.20,7.10,16.00,10.70%,11752648,3.30%,3700437046,1
1965,95372694,2.68%,2362903,-41100,17.50,7.08,14.00,5.20%,4978234,3.10%,3339583597,1
1960,83558179,2.47%,1916566,-24500,17.90,6.99,13.00,7.80%,6514299,3.00%,3034949748,2
1955,73975350,2.26%,1566158,-20100,18.20,6.99,11.00,6.70%,4978234,2.90%,2773019936,2
